,fact,dt,10_metre_V_wind_component,Snow_density,Snowfall,Visibility,Surface_pressure,Convective_precipitation,Visual_cloud_cover,Total_cloud_cover,Precipitation_type,Instantaneous_10_metre_wind_gust,Medium_cloud_cover,Total_precipitation_rate,Convective_available_potential_energy,10_metre_U_wind_component,Skin_temperature,2_metre_temperature,Surface_solar_radiation_downwards,Wind_speed,Low_cloud_cover,Snow_depth,High_cloud_cover,Evaporation,Wind_Direction,2_metre_dewpoint_temperature,Total_precipitation,2_metre_relative_humidity,Clear_sky_direct_solar_radiation_at_surface,Snow_height,dayofyear,hours
7,139.0,2021-02-09 07:00:00,0.05,192.1064,0.0,16902.6736,95516.7,0.0,0.8232566,0.82,5.0,10.5,0.0,0.0,0.0,4.45,-24.0,-25.7,1072360.0,4.5,0.82,0.0984,0.0,-2.04e-05,269.0,-30.6,0.0,61.0,860606.35,511.8944,40,7
8,535.0,2021-02-09 08:00:00,0.04,192.1083,0.0001,14533.5431,95562.7,0.0,0.7833187,0.78,5.0,10.4,0.0,0.0,0.0,4.39,-22.5,-24.5,1285180.0,4.4,0.78,0.0984,0.0,-2.48e-05,269.0,-29.8,0.0001,58.0,1074869.7500000002,511.8899,40,8
9,1127.0,2021-02-09 09:00:00,0.06,192.1103,0.0001,17969.0193,95588.1,0.0,0.7335843,0.73,5.0,10.5,0.0,0.0,0.0,4.42,-21.4,-23.4,1405590.0,4.4,0.73,0.0984,0.0,-3e-05,269.0,-28.9,0.0001,57.0,1153635.1599999997,511.8848,40,9
10,1429.0,2021-02-09 10:00:00,0.13,192.128,0.0001,19345.3702,95599.9,0.0,0.7117862,0.71,5.0,10.2,0.0,0.0,0.0,4.31,-21.1,-22.7,1299690.0,4.3,0.71,0.0984,0.0,-3.54e-05,268.0,-28.2,0.0001,58.0,1059176.0299999998,511.8382,40,10
11,1646.0,2021-02-09 11:00:00,0.13,192.1459,0.0001,21472.0807,95637.2,0.0,0.6078869,0.61,5.0,9.9,0.0,0.0,0.0,4.2,-21.6,-22.5,1027000.0,4.2,0.61,0.0984,0.0,-4.02e-05,268.0,-27.8,0.0001,59.0,811923.5500000007,511.7909,40,11
12,1600.0,2021-02-09 12:00:00,0.29,192.1772,0.0,17458.6545,95717.5,0.0,0.7698014,0.77,5.0,9.9,0.0,0.0,0.0,4.45,-23.0,-22.8,0.0,4.5,0.77,0.0984,0.0,0.0,266.0,-27.5,0.0,63.0,0.0,511.7073,40,12
13,1340.0,2021-02-09 13:00:00,0.73,192.1872,0.0,10906.3608,95773.7,0.0,0.7025471,0.7,5.0,9.7,0.0,0.0,0.0,4.25,-24.2,-23.8,177287.0,4.3,0.7,0.0984,0.0,-5.6e-06,260.0,-27.4,0.0,70.0,114201.9,511.6813,40,13
14,696.0,2021-02-09 14:00:00,0.84,192.1469,0.0,5487.022,95851.5,0.0,0.7386667,0.75,5.0,9.3,0.0,0.0,0.0,4.04,-24.7,-24.4,483.909,4.1,0.74,0.0984,0.04,-9.4e-06,258.0,-27.6,0.0,73.0,91.10000000000582,511.7899,40,14
15,92.0,2021-02-09 15:00:00,0.87,192.095,0.0,4619.3018,95949.0,0.0,0.9735655,0.97,5.0,9.4,0.0,0.0,0.0,4.08,-25.3,-25.0,38.1293,4.2,0.97,0.0984,0.0,-1.21e-05,258.0,-28.1,0.0,73.0,73.80000000000291,511.9307,40,15
31,55.0,2021-02-10 07:00:00,-0.37,189.9607,0.0005,27634.1698,96189.7,0.0,1.0,1.0,5.0,2.5,1.0,0.0,0.0,-0.78,-17.9,-19.5,544129.0,0.9,0.0,0.0978,0.99,-5e-06,60.0,-25.3,0.0005,57.0,802170.9799999999,514.3176,41,7
