,fact,dt
0,0.0,2020-02-27 17:00:00
1,0.0,2020-02-27 18:00:00
2,0.0,2020-02-27 19:00:00
3,0.0,2020-02-27 20:00:00
4,0.0,2020-02-27 21:00:00
5,0.0,2020-02-27 22:00:00
6,0.0,2020-02-27 23:00:00
7,0.0,2020-02-28 00:00:00
8,0.0,2020-02-28 01:00:00
9,0.0,2020-02-28 02:00:00
10,0.0,2020-02-28 03:00:00
11,0.0,2020-02-28 04:00:00
12,0.0,2020-02-28 05:00:00
13,0.0,2020-02-28 06:00:00
14,0.0,2020-02-28 07:00:00
15,0.0,2020-02-28 08:00:00
16,0.0,2020-02-28 09:00:00
17,0.0,2020-02-28 10:00:00
18,0.0,2020-02-28 11:00:00
19,0.0,2020-02-28 12:00:00
20,0.0,2020-02-28 13:00:00
21,0.0,2020-02-28 14:00:00
22,0.0,2020-02-28 15:00:00
23,0.0,2020-02-28 16:00:00
24,0.0,2020-02-28 17:00:00
25,0.0,2020-02-28 18:00:00
26,0.0,2020-02-28 19:00:00
27,0.0,2020-02-28 20:00:00
28,0.0,2020-02-28 21:00:00
29,0.0,2020-02-28 22:00:00
30,0.0,2020-02-28 23:00:00
31,0.0,2020-02-29 00:00:00
32,0.0,2020-02-29 01:00:00
33,0.0,2020-02-29 02:00:00
34,0.0,2020-02-29 03:00:00
35,0.0,2020-02-29 04:00:00
36,0.0,2020-02-29 05:00:00
37,0.0,2020-02-29 06:00:00
38,0.0,2020-02-29 07:00:00
39,0.0,2020-02-29 08:00:00
40,0.0,2020-02-29 09:00:00
41,0.0,2020-02-29 10:00:00
42,0.0,2020-02-29 11:00:00
43,0.0,2020-02-29 12:00:00
44,0.0,2020-02-29 13:00:00
45,0.0,2020-02-29 14:00:00
46,0.0,2020-02-29 15:00:00
47,0.0,2020-02-29 16:00:00
48,0.0,2020-02-29 17:00:00
49,0.0,2020-02-29 18:00:00
50,0.0,2020-02-29 19:00:00
51,0.0,2020-02-29 20:00:00
52,0.0,2020-02-29 21:00:00
53,0.0,2020-02-29 22:00:00
54,0.0,2020-02-29 23:00:00
55,0.0,2020-03-01 00:00:00
56,0.0,2020-03-01 01:00:00
57,0.0,2020-03-01 02:00:00
58,0.0,2020-03-01 03:00:00
59,0.0,2020-03-01 04:00:00
60,0.0,2020-03-01 05:00:00
61,0.0,2020-03-01 06:00:00
62,0.0,2020-03-01 07:00:00
63,0.0,2020-03-01 08:00:00
64,0.0,2020-03-01 09:00:00
65,0.0,2020-03-01 10:00:00
66,0.0,2020-03-01 11:00:00
67,0.0,2020-03-01 12:00:00
68,0.0,2020-03-01 13:00:00
69,0.0,2020-03-01 14:00:00
70,0.0,2020-03-01 15:00:00
71,0.0,2020-03-01 16:00:00
72,0.0,2020-03-01 17:00:00
73,0.0,2020-03-01 18:00:00
74,0.0,2020-03-01 19:00:00
75,0.0,2020-03-01 20:00:00
76,0.0,2020-03-01 21:00:00
